Footprint,Comment,Pick Height,Pick Delay,Move Speed,Place Height,Place Delay,Place Speed,Accuracy,Width,Length,Thickness,Size Analyze,Tray X,Tray Y,Columns,Rows,Right Top X,Right Top Y,Vision Model,Brightness,Vision Error,Vision Flash,Feeder Type,NoisyPoint
0402_R,2K,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0805_C,22uF,1,0,100,0.6,0,100,High Speed,1.27,2,1.27,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
MicroSD_-_DM3C-SF,MicroSD,1,20,70,0.5,20,50,High Accuracy,14,14,1.75,NO,1,1,,,0,0,IC Rotate Calib,80,,7,Pneumatic,1
0201_C,0.1uF,0.9,20,100,0.3,20,100,High Accuracy,0.3,0.6,0.3,NO,1,1,,,0,0,Fly Calib,80,,7,Electric,1
0402_C,4.7uF,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,1K,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,240,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
SOT23-6,24AA025E48,0.9,0,100,1,0,100,High Speed,2.7,2.22,1.17,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
EN5399,EN5339QI,0.9,20,70,0.3,20,50,High Accuracy,4,6,1.1,NO,1,1,,,0,0,IC Calib,80,,7,Pneumatic,1
EP53A8,EP53A8LQI,0.9,20,70,0.3,20,50,High Accuracy,3,3,1.1,NO,1,1,,,0,0,IC Calib,80,,7,Pneumatic,1
0402_C,10pF,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_C,1uF,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_C,22nF,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,100,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,10K,0.8,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0805_C,10uF,1,0,100,0.6,0,100,High Speed,1.27,2,1.27,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,348K,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,412K,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,5.62K,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
OPT_RES_0402,0ohm,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
SOT23-5,RT9193-25GB,0.9,0,100,1,0,100,High Speed,2.7,2.22,1.17,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
BGA96C80P16X9_1400X900X120,MT41J128M16HA-15E,0.9,20,40,1,20,40,High Accuracy,14,14,1.2,NO,1,1,1,1,1,1,IC Calib,80,,7,Pneumatic,1
BGA484C80P22X22_1900X1900X190,5CSEBA6U19C8N,0.9,20,40,1,20,40,High Accuracy,14,14,1.2,NO,1,1,1,1,1,1,IC Calib,80,,7,Pneumatic,1
OPT_RES_0402,4.7K,0.7,20,100,0.2,20,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,4.7K,0.7,20,100,0.2,20,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_C,0.1uF,0.9,20,100,0.3,20,100,High Speed,0.5,1,0.5,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0603_LED_GREEN,LED-GREEN,0.5,0,100,0.6,0,100,High Speed,0.8,1.6,0.8,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,6.04K,0.7,20,100,0.2,20,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0603_LED_RED,LED-RED,0.5,0,100,0.6,0,100,High Speed,0.8,1.6,0.8,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0603_C,4.7uF,1.2,0,100,0.6,0,100,High Speed,0.8,1.6,0.8,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0805_C,22uF,0.5,0,100,1.1,0,100,High Speed,1.27,2,1.27,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0805_L,BLM21PG220SN1D,0.7,0,100,0.6,0,100,High Speed,1.25,2,0.85,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0603_0.8MM,Ferrite,1.2,0,100,0.8,0,100,High Speed,0.95,1.8,0.95,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R_-_RESNET8,22,0.7,20,100,0.3,20,100,High Speed,1.6,3.8,0.45,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
OPT_RES_0402,1.0K,0.7,20,100,0.2,20,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
0402_R,100K,0.7,20,100,0.2,20,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
OPT_RES_0402,0,0.7,20,100,0.2,20,100,High Speed,0.5,1,0.35,NO,1,1,,,0,0,Fly Calib,80,,7,Pneumatic,1
