#Feeder,Feeder ID,Skip,Pos X,Pos Y,Angle,Nozzle
Feeder,1,NO,4.8,8.1,0,1
Feeder,2,NO,27.08,10.12,0,12
Feeder,3,NO,48.05,9.98,0,123
Feeder,4,NO,69.28,9.82,0,1234
Feeder,5,NO,90.408,9.812,0,12345
Feeder,6,NO,111.197,10.03,0,123456
Feeder,7,NO,132.3,9.56,0,1234567
Feeder,8,NO,152.73,9.69,0,12345678
Feeder,9,NO,174.3,9.78,0,12345678
Feeder,10,NO,195.757,8.904,0,12345678
Feeder,11,NO,216.213,9.969,0,12345678
Feeder,12,NO,237.069,9.843,0,12345678
Feeder,13,NO,258.109,9.954,0,12345678
Feeder,14,NO,277.8,8.1,0,12345678
Feeder,15,NO,300.43,9.99,0,12345678
Feeder,16,NO,321.515,13.564,0,12345678
Feeder,17,NO,342.19,9.81,0,12345678
Feeder,18,NO,447.06,9.64,0,12345678
Feeder,19,NO,467.05,9.81,0,12345678
Feeder,20,NO,487.8,8.1,0,12345678
Feeder,21,NO,509.92,9.75,0,12345678
Feeder,22,NO,530.91,9.82,0,12345678
Feeder,23,NO,551.97,9.68,0,12345678
Feeder,24,NO,573.271,9.692,0,12345678
Feeder,25,NO,594.09,9.78,0,12345678
Feeder,26,NO,615.083,9.946,0,12345678
Feeder,27,NO,636.342,10,0,2345678
Feeder,28,NO,656.973,9.766,0,345678
Feeder,29,NO,677.844,9.766,0,45678
Feeder,30,NO,699.196,9.968,0,5678
Feeder,31,NO,720.053,9.883,0,678
Feeder,32,NO,739.8,8.1,0,78
Feeder,33,NO,760.1,9.766,0,8
Feeder,34,NO,1.4,513.1,180,1
Feeder,35,NO,22.93,519.03,180,12
Feeder,36,NO,43.82,519.08,180,123
Feeder,37,NO,64.93,519.01,180,1234
Feeder,38,NO,85.85,519.85,180,12345
Feeder,39,NO,106.4,513.1,180,123456
Feeder,40,NO,127.93,518.97,180,1234567
Feeder,41,NO,148.4,513.1,180,12345678
Feeder,42,NO,169.4,513.1,180,12345678
Feeder,43,NO,190.4,518.97,180,12345678
Feeder,44,NO,212.046,519.006,180,12345678
Feeder,45,NO,233.009,519.025,180,12345678
Feeder,46,NO,254.045,518.984,180,12345678
Feeder,47,NO,274.904,518.995,180,12345678
Feeder,48,NO,295.4,513.1,180,12345678
Feeder,49,NO,316.4,513.1,180,12345678
Feeder,50,NO,337.1,518.995,180,12345678
Feeder,51,NO,442.56,516.91,180,12345678
Feeder,52,NO,463.4,513.1,180,12345678
Feeder,53,NO,484.4,513.1,180,12345678
Feeder,54,NO,505.84,511.21,180,12345678
Feeder,55,NO,526.6,516.05,180,12345678
Feeder,56,NO,547.4,516.91,180,12345678
Feeder,57,NO,568.56,513.1,180,12345678
Feeder,58,NO,589.4,513.1,180,12345678
Feeder,59,NO,611.21,519.1,180,12345678
Feeder,60,NO,631.4,513.1,180,2345678
Feeder,61,NO,652.83,519.01,180,345678
Feeder,62,NO,674.06,519.03,180,45678
Feeder,63,NO,695,518.98,180,5678
Feeder,64,NO,715.4,513.1,180,678
Feeder,65,NO,736.4,513.1,180,78
Feeder,66,NO,757.4,513.1,180,8
